Destination,Type,Season,TravelGroup,Activities,BudgetPerPerson,Duration,HealthCondition,NumPeople,Region
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",10064,Short,None,6,India
London,City,Winter,Couple,"Culture,Sightseeing",11129,Short,Heart Issues,2,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",3894,Long,Heart Issues,4,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",15182,Long,Heart Issues,4,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",9743,Long,Asthma,6,India
London,City,Winter,Friends,"Culture,Sightseeing",21156,Short,Asthma,5,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",23973,Short,Heart Issues,2,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",11171,Short,Heart Issues,3,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",7128,Long,None,2,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",16908,Long,None,4,India
Dubai,City,Winter,Family,"Shopping,Adventure",11112,Long,None,4,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",19513,Long,Heart Issues,2,Other
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",15859,Short,Heart Issues,6,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",9285,Short,Asthma,1,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",24713,Long,None,6,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",4057,Short,Asthma,2,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",22473,Short,None,3,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",5464,Short,Asthma,6,India
Paris,City,Summer,Couple,"Sightseeing,Culture",4264,Long,Asthma,1,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",15828,Short,Asthma,1,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",3614,Short,Asthma,5,India
Paris,City,Summer,Family,"Sightseeing,Culture",8847,Short,Asthma,2,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",15046,Short,Heart Issues,5,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",21868,Short,Asthma,1,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",14431,Short,Heart Issues,3,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",3439,Long,Heart Issues,3,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",12702,Short,Heart Issues,5,India
London,City,Winter,Solo,"Culture,Sightseeing",10130,Long,Asthma,3,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",20085,Short,Asthma,3,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",4815,Short,Asthma,6,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",22152,Long,Heart Issues,3,India
Dubai,City,Winter,Family,"Shopping,Adventure",20485,Long,Heart Issues,1,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",6893,Long,Heart Issues,3,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",19039,Short,None,1,India
Singapore,City,Summer,Family,"Shopping,ThemePark",22825,Short,Asthma,3,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",19152,Long,None,5,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",4657,Short,Asthma,1,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",6736,Short,None,3,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",12989,Short,None,1,India
London,City,Winter,Friends,"Culture,Sightseeing",10696,Short,Asthma,2,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",13247,Long,Asthma,6,Other
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",8209,Short,None,4,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",8994,Short,Heart Issues,5,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",10326,Long,Heart Issues,4,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",9849,Short,None,3,India
London,City,Winter,Family,"Culture,Sightseeing",11670,Long,None,2,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",19803,Short,None,2,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",24695,Long,Asthma,4,India
Dubai,City,Winter,Family,"Shopping,Adventure",3177,Long,Asthma,4,Other
Singapore,City,Summer,Family,"Shopping,ThemePark",18481,Long,None,4,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",15923,Short,Heart Issues,6,India
Singapore,City,Summer,Family,"Shopping,ThemePark",11826,Short,Asthma,3,Other
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",6651,Short,None,3,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",13513,Short,Asthma,5,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",9268,Long,Asthma,2,India
Paris,City,Summer,Couple,"Sightseeing,Culture",4044,Short,None,5,Other
London,City,Winter,Friends,"Culture,Sightseeing",21208,Long,Asthma,6,Other
Paris,City,Summer,Couple,"Sightseeing,Culture",16462,Long,None,3,Other
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",4711,Short,Heart Issues,5,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",23900,Long,Asthma,5,India
Paris,City,Summer,Solo,"Sightseeing,Culture",8131,Long,Asthma,6,Other
Hampi,Historical,Winter,Family,"Sightseeing,Photography",7999,Short,Heart Issues,4,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",10850,Long,None,5,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",19461,Long,Asthma,1,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",21798,Long,Asthma,6,India
London,City,Winter,Family,"Culture,Sightseeing",3062,Long,Heart Issues,2,Other
Manali,Mountain,Winter,Solo,"Trekking,Adventure",13271,Short,None,6,India
London,City,Winter,Family,"Culture,Sightseeing",20950,Short,Asthma,4,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",15954,Long,Asthma,3,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",5930,Long,Asthma,5,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",20146,Short,None,2,Other
Manali,Mountain,Winter,Family,"Trekking,Adventure",22602,Long,None,3,India
Paris,City,Summer,Solo,"Sightseeing,Culture",5788,Short,None,4,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",3973,Short,Heart Issues,5,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",5715,Long,Asthma,1,India
London,City,Winter,Couple,"Culture,Sightseeing",4309,Long,None,3,Other
London,City,Winter,Friends,"Culture,Sightseeing",4046,Short,None,4,Other
Singapore,City,Summer,Couple,"Shopping,ThemePark",6837,Long,Heart Issues,6,Other
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",6856,Long,Heart Issues,3,India
Dubai,City,Winter,Friends,"Shopping,Adventure",14139,Short,Asthma,6,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",3369,Long,None,1,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",23134,Long,None,5,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",8668,Short,None,4,India
Paris,City,Summer,Family,"Sightseeing,Culture",15403,Long,Asthma,3,Other
Singapore,City,Summer,Solo,"Shopping,ThemePark",16503,Long,Asthma,4,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",19269,Short,None,4,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",6514,Short,None,6,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",23799,Long,Asthma,2,India
Paris,City,Summer,Friends,"Sightseeing,Culture",16241,Short,Asthma,2,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",9915,Short,Asthma,1,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",9929,Short,Asthma,4,India
London,City,Winter,Family,"Culture,Sightseeing",12311,Short,Asthma,1,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",15912,Short,None,5,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",20020,Long,Heart Issues,6,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",22906,Long,Asthma,6,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",22340,Long,Heart Issues,4,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",7883,Long,None,2,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",19599,Short,Asthma,3,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",7171,Long,Asthma,5,India
Paris,City,Summer,Family,"Sightseeing,Culture",13984,Short,Asthma,5,Other
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",14712,Short,None,5,India
Paris,City,Summer,Couple,"Sightseeing,Culture",16491,Long,Heart Issues,5,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",12809,Short,Asthma,5,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",16843,Long,Heart Issues,2,India
Paris,City,Summer,Solo,"Sightseeing,Culture",6177,Long,Asthma,3,Other
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",10185,Long,None,3,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",15673,Long,Heart Issues,1,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",19948,Long,None,1,Other
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",6257,Long,Asthma,6,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",18773,Short,Asthma,1,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",3092,Short,None,6,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",19450,Long,None,2,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",15646,Long,Asthma,1,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",16823,Short,None,1,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",10727,Long,Heart Issues,6,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",22893,Short,None,1,India
Dubai,City,Winter,Solo,"Shopping,Adventure",17576,Short,None,5,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",5583,Long,Heart Issues,6,India
Singapore,City,Summer,Family,"Shopping,ThemePark",23964,Long,Asthma,2,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",11572,Short,Asthma,6,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",13660,Long,None,4,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",6370,Short,Asthma,2,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",21381,Long,Asthma,6,India
Paris,City,Summer,Family,"Sightseeing,Culture",14246,Short,Heart Issues,2,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",6430,Long,Heart Issues,3,India
Dubai,City,Winter,Solo,"Shopping,Adventure",19880,Long,Asthma,2,Other
Hampi,Historical,Winter,Family,"Sightseeing,Photography",14540,Long,None,3,India
Paris,City,Summer,Friends,"Sightseeing,Culture",7977,Long,None,4,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",20837,Long,None,4,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",16968,Long,Heart Issues,4,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",11880,Long,Asthma,5,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",24540,Long,Asthma,6,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",5883,Short,None,2,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",16804,Short,None,2,India
Paris,City,Summer,Friends,"Sightseeing,Culture",13472,Short,Heart Issues,3,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",10082,Short,Heart Issues,6,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",16018,Long,Asthma,1,India
Paris,City,Summer,Family,"Sightseeing,Culture",14595,Long,Heart Issues,1,Other
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",7815,Short,Heart Issues,4,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",23214,Long,None,5,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",10531,Short,Heart Issues,3,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",9656,Short,Asthma,3,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",17751,Short,Heart Issues,6,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",14464,Short,Heart Issues,1,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",19361,Long,Heart Issues,6,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",21903,Short,Heart Issues,5,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",13676,Short,None,6,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",15211,Long,None,6,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",5121,Short,Heart Issues,6,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",23479,Short,Asthma,1,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",13845,Short,Asthma,1,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",13356,Long,Heart Issues,2,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",8045,Long,None,5,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",3819,Short,None,6,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",22348,Long,Asthma,3,India
Dubai,City,Winter,Family,"Shopping,Adventure",18440,Long,None,6,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",21332,Short,Heart Issues,4,India
London,City,Winter,Family,"Culture,Sightseeing",12920,Long,None,3,Other
Singapore,City,Summer,Friends,"Shopping,ThemePark",20582,Long,None,3,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",11142,Long,Heart Issues,5,India
London,City,Winter,Couple,"Culture,Sightseeing",23908,Short,Heart Issues,5,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",19441,Long,Asthma,4,India
Dubai,City,Winter,Friends,"Shopping,Adventure",17839,Long,None,6,Other
Singapore,City,Summer,Family,"Shopping,ThemePark",5490,Short,None,5,Other
London,City,Winter,Couple,"Culture,Sightseeing",20322,Short,Asthma,2,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",6570,Long,Asthma,4,India
Paris,City,Summer,Friends,"Sightseeing,Culture",6004,Short,None,1,Other
Singapore,City,Summer,Couple,"Shopping,ThemePark",8281,Short,None,6,Other
London,City,Winter,Solo,"Culture,Sightseeing",14648,Long,None,4,Other
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",24955,Long,Asthma,1,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",20120,Short,None,6,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",22090,Short,Asthma,4,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",21398,Long,None,4,India
Paris,City,Summer,Friends,"Sightseeing,Culture",6228,Long,Asthma,1,Other
Paris,City,Summer,Family,"Sightseeing,Culture",9093,Short,None,3,Other
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",20458,Short,None,3,India
Dubai,City,Winter,Solo,"Shopping,Adventure",4778,Short,None,3,Other
Manali,Mountain,Winter,Solo,"Trekking,Adventure",21431,Long,Asthma,2,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",23946,Long,None,1,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",15449,Short,None,3,India
Dubai,City,Winter,Friends,"Shopping,Adventure",8012,Long,None,2,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",24108,Long,Heart Issues,6,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",15713,Long,None,6,India
London,City,Winter,Solo,"Culture,Sightseeing",18414,Long,Asthma,4,Other
London,City,Winter,Couple,"Culture,Sightseeing",3862,Long,Heart Issues,1,Other
London,City,Winter,Family,"Culture,Sightseeing",12405,Long,Asthma,3,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",11239,Long,Asthma,6,India
Paris,City,Summer,Family,"Sightseeing,Culture",4509,Long,Asthma,5,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",5478,Short,Asthma,2,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",18102,Short,None,6,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",14984,Short,Heart Issues,3,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",17878,Long,Heart Issues,3,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",20963,Long,Asthma,3,Other
Hampi,Historical,Winter,Family,"Sightseeing,Photography",22707,Short,None,5,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",19003,Short,Asthma,3,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",13974,Short,Asthma,2,India
London,City,Winter,Family,"Culture,Sightseeing",15319,Short,Heart Issues,2,Other
Paris,City,Summer,Couple,"Sightseeing,Culture",21449,Short,Heart Issues,4,Other
London,City,Winter,Family,"Culture,Sightseeing",22499,Short,Heart Issues,6,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",7008,Long,Heart Issues,5,Other
Manali,Mountain,Winter,Family,"Trekking,Adventure",21762,Long,None,5,India
Dubai,City,Winter,Solo,"Shopping,Adventure",19008,Long,Heart Issues,1,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",20922,Long,Asthma,5,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",11583,Long,Asthma,4,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",18798,Long,None,4,India
Dubai,City,Winter,Couple,"Shopping,Adventure",20505,Long,None,5,Other
London,City,Winter,Solo,"Culture,Sightseeing",8084,Short,None,3,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",23988,Short,None,5,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",7609,Short,None,3,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",22936,Short,Heart Issues,6,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",11250,Short,None,5,India
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",12218,Short,Asthma,4,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",4681,Short,None,6,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",24392,Long,None,1,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",24653,Short,Heart Issues,2,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",10409,Short,Heart Issues,6,India
Dubai,City,Winter,Solo,"Shopping,Adventure",23353,Short,Asthma,1,Other
London,City,Winter,Couple,"Culture,Sightseeing",20213,Short,Heart Issues,3,Other
London,City,Winter,Friends,"Culture,Sightseeing",14299,Long,Asthma,3,Other
Singapore,City,Summer,Solo,"Shopping,ThemePark",17198,Long,None,2,Other
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",20638,Long,None,6,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",4860,Short,Heart Issues,5,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",15970,Short,Asthma,6,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",21801,Short,Asthma,3,India
Dubai,City,Winter,Family,"Shopping,Adventure",22697,Short,Heart Issues,6,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",21673,Short,Asthma,4,India
Paris,City,Summer,Friends,"Sightseeing,Culture",6995,Short,Heart Issues,6,Other
Dubai,City,Winter,Family,"Shopping,Adventure",22087,Short,Heart Issues,2,Other
Manali,Mountain,Winter,Family,"Trekking,Adventure",10425,Long,Heart Issues,1,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",18300,Long,Heart Issues,2,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",23014,Long,None,5,India
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",11061,Long,Asthma,6,India
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",3618,Long,None,6,India
Paris,City,Summer,Family,"Sightseeing,Culture",10692,Short,Asthma,2,Other
Manali,Mountain,Winter,Solo,"Trekking,Adventure",9607,Long,Asthma,2,India
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",24934,Long,Heart Issues,5,India
Paris,City,Summer,Family,"Sightseeing,Culture",15772,Long,None,4,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",17808,Short,Heart Issues,5,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",11102,Short,None,3,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",17222,Long,Asthma,5,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",5889,Short,Heart Issues,4,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",15501,Long,Asthma,2,India
Paris,City,Summer,Couple,"Sightseeing,Culture",22884,Short,Heart Issues,3,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",7878,Short,Heart Issues,5,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",23576,Long,Asthma,3,India
Dubai,City,Winter,Solo,"Shopping,Adventure",4277,Short,Heart Issues,6,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",14878,Long,None,5,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",16473,Long,None,4,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",22039,Long,Heart Issues,6,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",21919,Long,Asthma,6,India
London,City,Winter,Couple,"Culture,Sightseeing",19820,Short,Heart Issues,4,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",20726,Short,Asthma,1,Other
London,City,Winter,Solo,"Culture,Sightseeing",3921,Short,Heart Issues,3,Other
Hampi,Historical,Winter,Family,"Sightseeing,Photography",18413,Short,None,5,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",5683,Short,Heart Issues,6,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",20472,Short,Asthma,4,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",11257,Short,None,6,India
Dubai,City,Winter,Solo,"Shopping,Adventure",11106,Short,Heart Issues,1,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",7650,Short,Heart Issues,4,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",20314,Short,None,5,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",24419,Long,Heart Issues,4,India
London,City,Winter,Family,"Culture,Sightseeing",22662,Short,Asthma,4,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",24114,Short,None,1,Other
London,City,Winter,Family,"Culture,Sightseeing",20725,Long,None,2,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",23691,Short,None,3,India
London,City,Winter,Solo,"Culture,Sightseeing",13299,Long,None,3,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",16809,Long,Heart Issues,2,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",24672,Long,Heart Issues,6,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",10271,Long,Heart Issues,4,India
Paris,City,Summer,Friends,"Sightseeing,Culture",8611,Long,Heart Issues,4,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",12176,Long,Heart Issues,5,India
London,City,Winter,Solo,"Culture,Sightseeing",10377,Long,Asthma,4,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",12403,Short,Heart Issues,6,Other
Paris,City,Summer,Couple,"Sightseeing,Culture",8275,Short,None,3,Other
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",11267,Long,Asthma,4,India
Singapore,City,Summer,Family,"Shopping,ThemePark",9128,Long,Asthma,4,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",6706,Short,Asthma,3,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",20670,Short,None,4,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",20495,Long,Asthma,5,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",18351,Long,Heart Issues,1,India
Dubai,City,Winter,Couple,"Shopping,Adventure",17315,Short,None,1,Other
London,City,Winter,Solo,"Culture,Sightseeing",11633,Long,Heart Issues,5,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",4739,Long,None,6,India
London,City,Winter,Friends,"Culture,Sightseeing",5557,Short,None,1,Other
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",5163,Short,Heart Issues,5,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",14300,Long,Heart Issues,5,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",21334,Short,Asthma,4,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",23782,Long,Asthma,6,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",13272,Short,None,6,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",11327,Long,None,6,India
Dubai,City,Winter,Solo,"Shopping,Adventure",19999,Long,Asthma,2,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",23727,Short,Asthma,4,Other
Manali,Mountain,Winter,Friends,"Trekking,Adventure",9302,Long,None,3,India
